"ID","Surfweight","Year","Age","Sex","Ethnicity","Edu","LFS","Partner","Parent","NumberChildren","Tenure","HhIncome","NZDep","Migrant","Disability","HomeAfford","LifeSatisfy","LifeWorth","Health","TeReo","GovTereo","Selfactual","Trust","TrustPolice","TrustMedia","TrustParliament","Voted","Mwb","Housecold","Housedamp","Moves","AccessMed","AccessGreen","AccessPt","NeighConnect","NeighCrime","Victim","Discrim","Lonely","Hardtalk","AgeC","SexC","DisabilityC","EthnicityC","VotedC","LFSC"
1,3238.951,2021,"15-24","Female","European/Other",1,"Not in the labour force",0,0,0,3,3,6,5,"not disabled",10,10,8,5,1,4,3,8,10,10,7,"No",5,3,1,NA,NA,NA,NA,NA,4,0,0,2,2,1,1,0,4,0,3
2,6468.014,2021,"55-64","Male","Maori",3,"Employed",1,0,0,1,3,1,6,"not disabled",5,8,9,5,1,5,3,9,9,5,7,"Yes",18,1,1,NA,NA,NA,NA,NA,3,0,0,1,2,5,0,0,1,1,1
3,4822.019,2021,"25-34","Male","European/Other",3,"Employed",0,1,2,3,1,8,1,"not disabled",9,8,8,4,1,3,4,5,8,6,7,"Yes",5,3,1,NA,NA,NA,NA,NA,1,0,0,1,2,2,0,0,4,1,1
4,4549.766,2021,"55-64","Female","European/Other",1,"Employed",1,0,0,1,3,4,1,"not disabled",7,8,8,4,1,2,4,7,9,5,3,"Yes",19,1,1,NA,NA,NA,NA,NA,3,0,0,2,1,5,1,0,4,1,1
5,3157.55,2021,"45-54","Male","European/Other",3,"Employed",1,1,1,2,3,5,2,"Disabled",4,8,9,4,1,2,4,6,9,4,5,"Yes",18,1,2,NA,NA,NA,NA,NA,1,0,0,1,2,4,0,1,4,1,1
6,2717.784,2021,"15-24","Male","European/Other",1,"Not in the labour force",0,0,0,1,3,3,1,"not disabled",6,8,9,4,1,4,4,8,9,6,9,"Yes",17,1,2,NA,NA,NA,NA,NA,3,0,0,2,1,1,0,0,4,1,3
7,13441.86,2021,"55-64","Male","European/Other",3,"Employed",1,0,0,1,3,2,1,"not disabled",7,8,8,3,1,3,4,8,9,5,7,"Yes",18,2,2,NA,NA,NA,NA,NA,3,0,1,2,3,5,0,0,4,1,1
8,7413.058,2021,"45-54","Male","European/Other",4,"Employed",1,1,1,3,3,2,6,"not disabled",10,7,8,5,3,4,3,7,8,6,8,"Yes",13,1,1,NA,NA,NA,NA,NA,5,0,0,3,3,4,0,0,4,1,1
9,547.0136,2021,"45-54","Female","Asian",4,"Employed",1,1,1,1,3,5,6,"not disabled",4,7,9,3,2,2,3,5,8,5,3,"Yes",11,1,1,NA,NA,NA,NA,NA,3,0,1,1,1,4,1,0,3,1,1
10,8311.392,2021,"55-64","Male","European/Other",3,"Employed",0,0,0,1,1,7,1,"not disabled",3,7,8,4,1,2,4,7,8,3,7,"Yes",15,1,1,NA,NA,NA,NA,NA,3,0,0,1,1,5,0,0,4,1,1
11,1921.758,2021,"25-34","Female","European/Other",2,"Not in the labour force",0,0,0,3,1,1,1,"not disabled",10,4,3,3,1,4,5,7,7,4,6,"Yes",10,2,1,NA,NA,NA,NA,NA,1,0,0,2,2,2,1,0,4,1,3
12,8762.334,2021,"35-44","Male","European/Other",1,"Employed",1,1,4,1,3,7,2,"not disabled",5,8,9,5,2,4,5,7,9,3,7,"Yes",16,1,1,NA,NA,NA,NA,NA,4,0,0,3,3,3,0,0,4,1,1
13,1437.464,2021,"35-44","Male","European/Other",2,"Not in the labour force",1,1,3,3,3,7,1,"not disabled",6,8,9,2,2,5,4,7,8,7,10,"Yes",8,3,2,NA,NA,NA,NA,NA,3,0,0,1,2,3,0,0,4,1,3
14,3288.369,2021,"65+","Female","European/Other",3,"Not in the labour force",1,0,0,2,2,2,1,"not disabled",10,10,10,3,1,3,5,8,9,5,6,"Yes",20,1,1,NA,NA,NA,NA,NA,4,0,0,1,3,6,1,0,4,1,3
15,1969.839,2021,"55-64","Female","European/Other",1,"Not in the labour force",1,0,0,2,2,3,1,"not disabled",8,8,8,3,1,2,4,0,3,0,3,"Yes",20,1,2,NA,NA,NA,NA,NA,3,0,0,1,2,5,1,0,4,1,3
16,13647.07,2021,"15-24","Female","European/Other",1,"Employed",0,0,0,3,3,6,5,"not disabled",10,10,8,5,1,4,3,8,10,10,7,"No",5,3,1,NA,NA,NA,NA,NA,4,0,0,2,2,1,1,0,4,0,1
17,2916.332,2021,"45-54","Male","Maori",1,"Employed",0,0,0,3,2,9,1,"not disabled",10,7,7,4,2,3,5,6,8,4,6,"No",16,1,2,NA,NA,NA,NA,NA,5,1,0,2,4,4,0,0,1,0,1
18,9848.456,2021,"65+","Female","European/Other",4,"Not in the labour force",1,0,0,2,2,1,6,"not disabled",7,8,8,3,1,3,3,8,9,7,6,"Yes",19,1,1,NA,NA,NA,NA,NA,3,0,0,1,2,6,1,0,4,1,3
19,509.5721,2021,"25-34","Male","Maori",1,"Employed",1,1,1,3,1,7,5,"not disabled",4,9,8,5,1,5,5,7,7,5,6,"No",12,3,3,NA,NA,NA,NA,NA,9,0,1,2,3,2,0,0,1,0,1
20,1576.869,2021,"55-64","Male","European/Other",1,"Not in the labour force",1,0,0,2,3,4,1,"not disabled",10,10,10,5,1,2,5,8,9,5,2,"Yes",20,1,1,NA,NA,NA,NA,NA,5,0,0,1,2,5,0,0,4,1,3
21,1738.872,2021,"25-34","Male","European/Other",4,"Not in the labour force",0,1,4,2,2,10,1,"Disabled",9,9,8,3,2,5,4,7,6,3,5,"Yes",16,3,2,NA,NA,NA,NA,NA,1,0,1,1,3,2,0,1,4,1,3
22,1780.911,2021,"45-54","Male","European/Other",3,"Not in the labour force",1,0,0,2,3,3,6,"not disabled",6,7,10,4,1,3,5,7,7,5,5,"Yes",17,1,2,NA,NA,NA,NA,NA,4,0,0,3,4,4,0,0,4,1,3
23,1738.872,2021,"65+","Male","European/Other",1,"Not in the labour force",0,0,0,2,1,10,1,"not disabled",5,8,10,4,1,3,4,8,10,8,9,"Yes",14,1,1,NA,NA,NA,NA,NA,3,0,0,1,2,6,0,0,4,1,3
24,3044.037,2021,"35-44","Male","European/Other",2,"Not in the labour force",0,0,0,1,3,8,1,"not disabled",8,6,10,3,2,5,4,8,9,7,5,"Yes",12,2,1,NA,NA,NA,NA,NA,3,0,1,2,3,3,0,0,4,1,3
25,1780.911,2021,"55-64","Male","European/Other",3,"Not in the labour force",0,0,0,3,1,4,1,"not disabled",7,7,9,3,1,4,5,8,8,6,2,"Yes",13,4,3,NA,NA,NA,NA,NA,3,0,0,1,2,5,0,0,4,1,3
26,1433.499,2021,"25-34","Female","Maori",2,"Employed",0,0,0,3,2,2,4,"not disabled",3,9,10,5,1,5,3,9,10,4,9,"No",15,1,2,NA,NA,NA,NA,NA,9,0,1,3,3,2,1,0,1,0,1
27,2121.932,2021,"25-34","Male","Maori",4,"Employed",1,0,0,3,3,5,1,"not disabled",9,9,8,5,1,4,5,7,8,5,7,"Yes",20,2,1,NA,NA,NA,NA,NA,8,0,0,2,1,2,0,0,1,1,1
28,3125.268,2021,"25-34","Female","European/Other",2,"Employed",1,0,0,1,3,10,1,"not disabled",6,9,8,4,2,5,4,9,10,8,9,"Yes",15,99,1,NA,NA,NA,NA,NA,9,0,0,1,3,2,1,0,4,1,1
29,832.1589,2021,"55-64","Male","Maori",1,"Employed",0,0,0,2,1,6,2,"not disabled",8,8,8,4,1,5,4,5,7,6,7,"Yes",13,2,1,NA,NA,NA,NA,NA,3,0,0,2,3,5,0,0,1,1,1
30,170.9162,2021,"45-54","Female","Maori",2,"Not in the labour force",0,0,0,1,2,5,6,"not disabled",5,7,7,3,1,2,3,7,5,2,5,"No",14,1,2,NA,NA,NA,NA,NA,3,0,0,2,1,4,1,0,1,0,3
31,2905.739,2021,"65+","Female","Asian",1,"Employed",1,0,0,1,2,8,3,"Disabled",4,8,8,4,1,3,3,6,4,3,5,"No",12,1,1,NA,NA,NA,NA,NA,4,1,0,2,2,6,1,1,3,0,1
32,608.8338,2021,"65+","Male","Maori",1,"Not in the labour force",0,0,0,3,1,9,1,"not disabled",4,10,6,2,1,2,5,7,10,8,6,"Yes",7,1,1,NA,NA,NA,NA,NA,5,0,0,1,2,6,0,0,1,1,3
33,4252.162,2021,"55-64","Female","European/Other",1,"Employed",1,0,0,2,3,4,1,"not disabled",6,8,8,3,1,2,3,7,5,0,1,"Yes",15,2,1,NA,NA,NA,NA,NA,5,0,0,1,4,5,1,0,4,1,1
34,372.5075,2021,"35-44","Female","Maori",4,"Unemployed",1,0,0,3,1,4,6,"not disabled",3,3,3,3,2,2,2,2,7,4,4,"No",8,2,2,NA,NA,NA,NA,NA,5,0,0,2,5,3,1,0,1,0,2
35,333.477,2021,"25-34","Male","Maori",4,"Employed",1,0,0,1,3,8,5,"not disabled",5,8,7,3,1,4,3,8,7,7,8,"No",10,3,2,NA,NA,NA,NA,NA,9,0,1,2,2,2,0,0,1,0,1
36,832.2164,2021,"65+","Female","Asian",2,"Employed",1,0,0,2,2,5,6,"not disabled",7,8,7,3,1,4,3,7,9,7,7,"Yes",19,1,1,NA,NA,NA,NA,NA,4,0,0,1,4,6,1,0,3,1,1
37,1615.944,2021,"55-64","Male","European/Other",4,"Not in the labour force",1,0,0,2,3,5,1,"not disabled",10,9,9,4,1,4,5,8,9,4,6,"Yes",20,1,1,NA,NA,NA,NA,NA,3,0,0,1,1,5,0,0,4,1,3
38,1871.112,2021,"55-64","Male","European/Other",3,"Not in the labour force",1,0,0,2,3,5,1,"not disabled",10,8,8,3,1,3,4,4,7,4,5,"Yes",15,1,1,NA,NA,NA,NA,NA,4,0,0,1,2,5,0,0,4,1,3
39,2140.873,2021,"55-64","Female","European/Other",1,"Employed",1,0,0,1,2,5,6,"not disabled",5,6,6,3,1,1,4,6,10,1,0,"Yes",19,2,1,NA,NA,NA,NA,NA,5,0,0,1,1,5,1,0,4,1,1
40,2115.728,2021,"55-64","Male","European/Other",1,"Not in the labour force",1,1,1,3,3,10,1,"not disabled",10,10,8,4,2,4,5,8,6,9,1,"Yes",20,1,2,NA,NA,NA,NA,NA,5,0,0,1,1,5,0,0,4,1,3
41,3741.336,2021,"55-64","Male","European/Other",4,"Employed",0,0,0,2,1,4,5,"not disabled",5,7,5,3,1,4,4,2,3,2,4,"Yes",20,2,2,NA,NA,NA,NA,NA,3,0,1,2,3,5,0,0,4,1,1
