"A50","A100","B50","B100"
49.75,99.86,50.16,99.88
50.35,99.55,51.36,99.86
49.8,99.98,50.42,101.14
49.87,100.24,49.25,99.66
50.7,100.25,50.22,101.35
50.6,99.33,50.7,100.45
49.38,100.45,50.52,100.12
49.4,99.94,50.29,98.86
49.72,100.03,50.66,99.62
49.88,100.56,49.17,101.07
50.24,100.21,49.59,100.08
50.64,100.65,49.83,99.46
49.85,99.95,50.47,100.93
49.33,99.69,49.71,99.74
49.07,99.86,49.5,99.47
49.9,99.94,50.87,101.62
50.11,99.73,51.08,100.87
50.15,100.04,50.76,101.2
49.89,99.4,50.25,100.53
49.86,100.33,50.69,99.77
49.81,99.74,50.15,99.98
49.31,99.56,50.49,100.88
49.84,100.56,50.54,100
49.41,101.02,49.94,101.01
49.68,100.03,48.96,99.98
